Column_Names,Var_Type,Used,model_input,model_output,Catergorial_Features
conf,Continous,0,0,0,
extracted_amount,Continous,1,0,0,
hdr_UOM,Continous,1,1,0,
line_left,Continous,1,0,1,0
line_top,Continous,1,0,1,0
line_height,Continous,1,0,1,0
line_width,Continous,1,0,1,0
line_right,Continous,1,0,1,0
line_down,Continous,1,0,1,0
left,Continous,1,0,1,
top,Continous,1,0,1,
right,Continous,1,0,1,
bottom,Continous,1,0,1,
height,Continous,1,0,1,
width,Continous,1,0,1,
hdr_itemCode,Continous,1,1,1,0
hdr_itemDescription,Continous,1,1,1,0
hdr_itemQuantity,Continous,1,1,1,0
hdr_itemValue,Continous,1,1,1,0
hdr_serviceStartDate,Continous,1,0,1,
hdr_serviceEndDate,Continous,1,0,1,
hdr_taxAmount,Continous,1,1,1,0
hdr_taxRate,Continous,1,0,1,
hdr_unitPrice,Continous,1,1,1,0
lblBillingAddress,Continous,1,1,1,0
lblCurrency,Continous,1,1,1,0
lblDueDate,Continous,1,1,1,0
lblInvoiceNumber,Continous,1,1,1,0
lblInvoicedate,Continous,1,1,1,0
lblPaymentTerms,Continous,1,1,1,0
lblPoNumber,Continous,1,1,1,0
lblShippingAddress,Continous,1,1,1,0
lblSubTotal,Continous,1,1,1,0
lblTotalAmount,Continous,1,1,1,0
lblTaxRate,Continous,1,0,1,
lblTaxAmount,Continous,1,1,1,0
lblVendorAddress,Continous,1,1,1,0
lblVendorEmail,Continous,1,1,1,0
lblVendorGSTIN,Continous,1,1,1,0
CurrencyCode,Continous,1,1,1,0
d1Ab,Continous,1,1,1,0
d2Ab,Continous,1,1,1,0
d3Ab,Continous,1,1,1,0
d4Ab,Continous,1,0,1,
d5Ab,Continous,1,0,1,
d1Be,Continous,1,1,1,0
d2Be,Continous,1,1,1,0
d3Be,Continous,1,1,1,0
d4Be,Continous,1,0,1,
d5Be,Continous,1,0,1,
d1Lf,Continous,1,1,1,0
d2Lf,Continous,1,1,1,0
d3Lf,Continous,1,1,1,0
d4Lf,Continous,1,1,1,0
d5Lf,Continous,1,1,1,0
d1Rg,Continous,1,1,1,0
d2Rg,Continous,1,1,1,0
d3Rg,Continous,1,1,1,0
d4Rg,Continous,1,1,1,0
d5Rg,Continous,1,1,1,0
topLineLen,Continous,1,1,1,0
downLineLen,Continous,1,1,1,0
leftLineLen,Continous,1,1,1,0
rightLineLen,Continous,1,1,1,0
probable_totalAmount,Continous,1,1,1,0
probable_LI_itemValue,Continous,1,1,1,
probable_subTotal,Continous,1,1,1,0
probable_taxAmount,Continous,1,0,1,
lblDueDate_Above,Continous,1,1,1,0
lblInvoiceNumber_Above,Continous,1,1,1,0
lblInvoicedate_Above,Continous,1,1,1,0
lblPaymentTerms_Above,Continous,1,1,1,0
