label,mapped_value,category,new_label,new_label_cat,used
Lineitem_11,Unknown,0,Unknown,0,1
Unknown,Unknown,0,Unknown,0,1
hdr_Discount,Unknown,0,Unknown,0,1
hdr_ItemType,Unknown,0,Unknown,0,1
hdr_Name,Unknown,0,Unknown,0,1
period,Unknown,0,Unknown,0,1
testTag,Unknown,0,Unknown,0,1
testag,Unknown,0,Unknown,0,1
unknown,Unknown,0,Unknown,0,1
unwanted,Unknown,0,Unknown,0,1
unwantedData,Unknown,0,Unknown,0,1
entityGSTIN,entityGSTIN,12,Unknown,0,1
vendorPAN,vendorPAN,16,Unknown,0,1
entityPAN,entityPAN,18,Unknown,0,1
customerId,customerId,20,Unknown,0,1
customerName,customerName,22,Unknown,0,1
barcode,barcode,25,Unknown,0,1
customerAddress,customerAddress,27,Unknown,0,1
amountPaid,amountPaid,41,Unknown,0,1
fxRate,fxRate,49,Unknown,0,1
taxRate,taxRate,51,Unknown,0,1
TaxRate,taxRate,51,Unknown,0,1
VATRate,VATRate,55,Unknown,0,1
VATTotal,VATTotal,57,Unknown,0,1
IGSTRate,IGSTRate,59,Unknown,0,1
SGSTRate,SGSTRate,63,Unknown,0,1
CGSTRate,CGSTRate,67,Unknown,0,1
hdr_taxRate,hdr_taxRate,77,Unknown,0,1
hdr_TaxRate,hdr_taxRate,77,Unknown,0,1
hdr_VATRate,hdr_taxRate,77,Unknown,0,1
hdr_IGSTRate,hdr_IGSTRate,79,Unknown,0,1
hdr_ISGTRate,hdr_IGSTRate,79,Unknown,0,1
hdr_SGSTRate,hdr_SGSTRate,81,Unknown,0,1
hdr_CGSTRate,hdr_CGSTRate,83,Unknown,0,1
hdr_serviceStartDate,hdr_serviceStartDate,84,Unknown,0,1
hdr_ServiceStartDate,hdr_serviceStartDate,84,Unknown,0,1
hdr_serviceEndDate,hdr_serviceEndDate,85,Unknown,0,1
LI_taxRate,LI_taxRate,94,Unknown,0,1
LI_VATRate,LI_taxRate,94,Unknown,0,1
LI_IGSTRate,LI_IGSTRate,96,Unknown,0,1
LI_ISGTRate,LI_IGSTRate,96,Unknown,0,1
LI_SGSTRate,LI_SGSTRate,98,Unknown,0,1
LI_CGSTRate,LI_CGSTRate,100,Unknown,0,1
LI_serviceStartDate,LI_serviceStartDate,101,Unknown,0,1
LI_serviceEndDate,LI_serviceEndDate,102,Unknown,0,1
TCSRate,TCSRate,103,Unknown,0,1
CessRate,CessRate,107,Unknown,0,1
insuranceRate,insuranceRate,111,Unknown,0,1
hdr_CessRate,hdr_CessRate,113,Unknown,0,1
LI_CessRate,LI_CessRate,115,Unknown,0,1
lblInvoicedate,lblInvoicedate,1,InvoiceLabels,1,1
lblInvoiceNumber,lblInvoiceNumber,3,InvoiceLabels,1,1
lblPaymentTerms,lblPaymentTerms,5,InvoiceLabels,1,1
lblPoNumber,lblPoNumber,7,InvoiceLabels,1,1
lblDueDate,lblDueDate,9,InvoiceLabels,1,1
lblEntityGSTIN,lblEntityGSTIN,11,InvoiceLabels,1,1
lblVendorGSTIN,lblVendorGSTIN,13,InvoiceLabels,1,1
lblVendorPAN,lblVendorPAN,15,InvoiceLabels,1,1
lblEntityPAN,lblEntityPAN,17,InvoiceLabels,1,1
lblCustomerId,lblCustomerId,19,InvoiceLabels,1,1
lblCustomerName,lblCustomerName,21,InvoiceLabels,1,1
lblVendorName,lblVendorName,23,InvoiceLabels,1,1
lblCustomerAddress,lblCustomerAddress,26,InvoiceLabels,1,1
lblVendorAddress,lblVendorAddress,28,InvoiceLabels,1,1
lblShippingAddress,lblShippingAddress,30,InvoiceLabels,1,1
lblBillingAddress,lblBillingAddress,32,InvoiceLabels,1,1
lblVendorEmail,lblVendorEmail,34,InvoiceLabels,1,1
lblTotalAmount,lblTotalAmount,36,InvoiceLabels,1,1
lblSubTotal,lblSubTotal,38,InvoiceLabels,1,1
lblAmountPaid,lblAmountPaid,40,InvoiceLabels,1,1
lblCurrency,lblCurrency,42,InvoiceLabels,1,1
lblFreightAmount,lblFreightAmount,44,InvoiceLabels,1,1
lblDiscountAmount,lblDiscountAmount,46,InvoiceLabels,1,1
lblFxRate,lblFxRate,48,InvoiceLabels,1,1
lblTaxRate,lblTaxRate,50,InvoiceLabels,1,1
lblTaxAmount,lblTaxAmount,52,InvoiceLabels,1,1
lblVATRate,lblVATRate,54,InvoiceLabels,1,1
lblVATTotal,lblVATTotal,56,InvoiceLabels,1,1
lblIGSTRate,lblIGSTRate,58,InvoiceLabels,1,1
lblIGSTAmount,lblIGSTAmount,60,InvoiceLabels,1,1
lblSGSTRate,lblSGSTRate,62,InvoiceLabels,1,1
lblSGSTAmount,lblSGSTAmount,64,InvoiceLabels,1,1
lblCGSTRate,lblCGSTRate,66,InvoiceLabels,1,1
lblCGSTAmount,lblCGSTAmount,68,InvoiceLabels,1,1
lblTCSAmount,lblTCSAmount,103,InvoiceLabels,1,1
lblTCSRate,lblTCSRate,103,InvoiceLabels,1,1
lblCessAmount,lblCessAmount,104,InvoiceLabels,1,1
lblCessRate,lblCessRate,106,InvoiceLabels,1,1
lblInsuranceAmount,lblInsuranceAmount,108,InvoiceLabels,1,1
lblInsuranceRate,lblInsuranceRate,110,InvoiceLabels,1,1
invoiceNumber,invoiceNumber,4,invoiceNumber,2,1
invoiceDate,invoiceDate,2,invoiceDate,3,1
poNumber,poNumber,8,poNumber,4,1
dueDate,dueDate,10,dueDate,5,1
DueDate,dueDate,10,dueDate,5,1
paymentTerms,paymentTerms,6,paymentTerms,6,1
shippingAddress,shippingAddress,31,shippingAddress,7,1
billingAddress,billingAddress,33,billingAddress,8,1
billingAddres,billingAddress,33,billingAddress,8,1
vendorName,vendorName,24,vendorName,9,1
vendorGSTIN,vendorGSTIN,14,vendorGSTIN,10,1
vendorEmail,vendorEmail,35,vendorEmail,11,1
vendorAddress,vendorAddress,29,vendorAddress,12,1
