State or Union Territory,Minimum_Pincode,Maximum_Pincode,Number of Pincodes,,
Andaman Nicobar Islands,744101,744304,22,,
Andhra Pradesh,507130,535594,1204,,
Arunachal Pradesh,790001,792131,48,,
Assam,781001,788931,571,,
Bihar,800001,855117,858,,
Chandigarh,140119,160102,24,,
Chattisgarh,490001,497778,266,,
Dadra Nagar Haveli,396193,396240,4,,
Daman Diu,362520,396220,6,,
Delhi,110001,110097,95,,
Goa,403001,403806,88,,
Gujarat,360001,396590,1018,,
Haryana,121001,136156,302,,
Himachal Pradesh,171001,177601,429,,
Jammu Kashmir,180001,194404,209,,
Jharkhand,813208,835325,369,,
Karnataka,560001,591346,1327,,
Kerala,670001,695615,1408,,
Lakshadweep,682551,682559,9,,
Madhya Pradesh,450001,488448,765,,
Maharashtra,400001,445402,1576,,
Manipur,795001,795159,52,,
Meghalaya,783123,794115,65,,
Mizoram,796001,796901,42,,
Nagaland,797001,798627,47,,
Odisha,751001,770076,907,,
Pondicherry,533464,673310,35,,
Punjab,140001,160104,528,,
Rajasthan,301001,345034,979,,
Sikkim,737101,737139,23,,
Tamil Nadu,600001,643253,2028,,
Telangana,500001,509412,659,,
Tripura,799001,799290,76,,
Uttar Pradesh,201001,285223,1628,,
Uttarakhand,244712,263680,291,,
West Bengal,700001,743711,1174,,
